time	speed	target_speed	cte	angle	steer_value
235	0.000	20.000	0.760	0.000	-0.076
265	0.000	20.000	0.760	0.000	-0.076
310	0.192	20.000	0.760	-1.464	-0.076
341	0.760	20.000	0.759	-1.464	-0.076
365	0.969	20.000	0.759	-1.463	-0.076
394	1.118	20.000	0.759	-1.462	-0.076
417	1.505	20.000	0.758	-1.462	-0.076
447	1.686	20.000	0.758	-1.461	-0.076
475	2.036	20.000	0.757	-1.459	-0.076
502	2.232	20.000	0.756	-1.458	-0.076
530	2.395	20.000	0.756	-1.456	-0.076
556	2.740	20.000	0.755	-1.455	-0.075
582	2.909	20.000	0.754	-1.453	-0.075
611	3.074	20.000	0.753	-1.450	-0.075
641	3.405	20.000	0.751	-1.448	-0.075
667	3.574	20.000	0.750	-1.446	-0.075
698	3.892	20.000	0.749	-1.442	-0.075
727	4.050	20.000	0.748	-1.440	-0.075
755	4.359	20.000	0.745	-1.435	-0.075
783	4.512	20.000	0.744	-1.432	-0.074
812	4.662	20.000	0.743	-1.427	-0.074
841	4.960	20.000	0.740	-1.423	-0.074
870	5.107	20.000	0.739	-1.420	-0.074
893	5.396	20.000	0.735	-1.413	-0.074
920	5.539	20.000	0.734	-1.410	-0.073
949	5.679	20.000	0.732	-1.402	-0.073
980	5.957	20.000	0.729	-1.398	-0.073
1008	6.094	20.000	0.727	-1.394	-0.073
1038	6.363	20.000	0.723	-1.385	-0.072
1067	6.496	20.000	0.721	-1.380	-0.072
1097	6.757	20.000	0.716	-1.370	-0.072
1126	6.886	20.000	0.714	-1.365	-0.071
1154	7.139	20.000	0.709	-1.354	-0.071
1183	7.265	20.000	0.707	-1.349	-0.071
1214	7.388	20.000	0.704	-1.337	-0.070
1244	7.631	20.000	0.699	-1.330	-0.070
1275	7.751	20.000	0.696	-1.324	-0.070
1303	7.987	20.000	0.690	-1.311	-0.069
1335	8.220	20.000	0.684	-1.304	-0.068
1366	8.335	20.000	0.681	-1.289	-0.068
1398	8.558	20.000	0.674	-1.274	-0.067
1432	8.669	20.000	0.671	-1.266	-0.067
1462	8.886	20.000	0.663	-1.249	-0.066
1494	8.993	20.000	0.660	-1.240	-0.066
1522	9.204	20.000	0.652	-1.222	-0.065
1551	9.308	20.000	0.648	-1.213	-0.065
1582	9.512	20.000	0.640	-1.194	-0.064
1614	9.613	20.000	0.636	-1.184	-0.064
1645	9.811	20.000	0.628	-1.164	-0.063
1675	10.006	20.000	0.622	-1.153	-0.062
1704	10.102	20.000	0.621	-1.133	-0.062
1733	10.290	20.000	0.622	-1.120	-0.062
1765	10.383	20.000	0.620	-1.116	-0.062
1797	10.565	20.000	0.611	-1.119	-0.061
1825	10.655	20.000	0.608	-1.114	-0.061
1855	10.832	20.000	0.605	-1.091	-0.060
1881	10.919	20.000	0.603	-1.085	-0.060
1913	11.005	20.000	0.602	-1.075	-0.060
1941	11.175	20.000	0.601	-1.072	-0.060
1969	11.259	20.000	0.601	-1.069	-0.060
1999	11.352	20.000	0.600	-1.066	-0.060
2031	11.669	20.000	0.600	-1.065	-0.060
2063	11.690	20.000	0.599	-1.064	-0.060
2094	11.705	20.000	0.598	-1.063	-0.060
2124	11.785	20.000	0.597	-1.061	-0.060
2154	11.623	20.000	0.596	-1.059	-0.060
2183	12.120	20.000	0.595	-1.056	-0.059
2214	12.234	20.000	0.594	-1.053	-0.059
2247	12.415	20.000	0.592	-1.050	-0.059
2278	12.382	20.000	0.589	-1.048	-0.059
2315	12.570	20.000	0.588	-1.042	-0.059
2347	12.707	20.000	0.585	-1.036	-0.058
2384	12.843	20.000	0.582	-1.033	-0.058
2424	12.945	20.000	0.578	-1.026	-0.058
2454	13.194	20.000	0.574	-1.017	-0.057
2484	12.975	20.000	0.572	-1.008	-0.057
2516	13.151	20.000	0.567	-0.998	-0.057
2549	13.449	20.000	0.564	-0.992	-0.056
2585	13.445	20.000	0.559	-0.981	-0.056
2621	13.708	20.000	0.554	-0.975	-0.055
2655	13.676	20.000	0.548	-0.962	-0.055
2685	13.640	20.000	0.545	-0.948	-0.054
2721	13.674	20.000	0.538	-0.933	-0.054
2756	13.871	20.000	0.531	-0.925	-0.053
2789	14.142	20.000	0.528	-0.909	-0.053
2817	14.161	20.000	0.520	-0.892	-0.052
2854	14.028	20.000	0.516	-0.883	-0.052
2887	14.135	20.000	0.508	-0.864	-0.051
2916	14.279	20.000	0.500	-0.855	-0.050
2952	14.581	20.000	0.496	-0.835	-0.050
2984	14.554	20.000	0.487	-0.814	-0.049
3016	14.494	20.000	0.482	-0.803	-0.048
3052	14.538	20.000	0.473	-0.781	-0.047
3087	14.672	20.000	0.463	-0.769	-0.046
3117	14.725	20.000	0.453	-0.745	-0.045
3154	14.945	20.000	0.447	-0.721	-0.045
3184	15.133	20.000	0.437	-0.695	-0.044
3222	15.127	20.000	0.426	-0.682	-0.043
3259	15.315	20.000	0.414	-0.655	-0.041
3298	15.091	20.000	0.408	-0.628	-0.041
3337	15.473	20.000	0.390	-0.599	-0.039
3374	15.254	20.000	0.384	-0.585	-0.038
3414	15.364	20.000	0.372	-0.540	-0.037
3455	15.418	20.000	0.359	-0.524	-0.036
3488	15.525	20.000	0.346	-0.493	-0.035
3522	15.577	20.000	0.333	-0.461	-0.033
3562	15.679	20.000	0.319	-0.429	-0.032
3598	15.730	20.000	0.305	-0.396	-0.031
3639	15.827	20.000	0.292	-0.362	-0.029
3676	15.877	20.000	0.277	-0.327	-0.028
3716	15.968	20.000	0.263	-0.293	-0.026
3762	16.017	20.000	0.249	-0.257	-0.025
3801	16.104	20.000	0.234	-0.221	-0.023
3842	16.152	20.000	0.219	-0.185	-0.022
3883	16.235	20.000	0.204	-0.149	-0.020
3921	16.281	20.000	0.189	-0.112	-0.019
3957	16.360	20.000	0.174	-0.075	-0.017
3991	16.586	20.000	0.167	-0.037	-0.017
4032	16.479	20.000	0.144	0.000	-0.014
4067	16.699	20.000	0.137	0.019	-0.014
4102	16.700	20.000	0.122	0.076	-0.012
4136	16.803	20.000	0.107	0.095	-0.011
4170	16.627	20.000	0.099	0.132	-0.010
4202	16.692	20.000	0.084	0.170	-0.008
4235	16.732	20.000	0.069	0.189	-0.007
4269	16.911	20.000	0.062	0.226	-0.006
4306	16.999	20.000	0.047	0.263	-0.005
4339	17.011	20.000	0.033	0.281	-0.003
4370	16.897	20.000	0.026	0.318	-0.003
4403	16.930	20.000	0.011	0.354	-0.001
4440	16.993	20.000	-0.003	0.372	0.000
4471	17.180	20.000	-0.010	0.408	0.001
4514	17.200	20.000	-0.023	0.443	0.002
4552	17.264	20.000	-0.037	0.460	0.004
4587	17.284	20.000	-0.050	0.495	0.005
4621	17.342	20.000	-0.063	0.528	0.006
4654	17.366	20.000	-0.075	0.561	0.008
4686	17.255	20.000	-0.082	0.593	0.008
4745	17.284	20.000	-0.094	0.625	0.009
4785	17.494	20.000	-0.111	0.640	0.011
4838	17.522	20.000	-0.122	0.670	0.012
4879	17.451	20.000	-0.138	0.714	0.014
4914	17.589	20.000	-0.143	0.741	0.014
4949	17.629	20.000	-0.151	0.781	0.015
4985	17.655	20.000	-0.157	0.794	0.016
5020	17.688	20.000	-0.159	0.814	0.016
5049	17.607	20.000	-0.160	0.828	0.016
5084	17.645	20.000	-0.158	0.834	0.016
5120	17.680	20.000	-0.154	0.836	0.015
5158	17.718	20.000	-0.147	0.832	0.015
5190	17.806	20.000	-0.142	0.821	0.014
5222	17.835	20.000	-0.132	0.803	0.013
5256	17.863	20.000	-0.122	0.791	0.012
5289	17.815	20.000	-0.117	0.767	0.012
5321	17.846	20.000	-0.106	0.742	0.011
5354	17.877	20.000	-0.095	0.729	0.009
5387	17.947	20.000	-0.089	0.702	0.009
5420	17.974	20.000	-0.077	0.674	0.008
