time	speed	target_speed	cte	angle	steer_value
6844	0.000	20.000	0.760	0.000	-3.115
6871	0.876	20.000	0.760	0.000	-0.076
6900	1.314	20.000	0.760	-25.000	-0.076
6928	2.190	20.000	0.760	-1.463	-0.076
6955	2.628	20.000	0.760	-1.463	-0.076
6980	3.504	20.000	0.760	-1.463	-0.076
7010	3.942	20.000	0.760	-1.463	-0.076
7038	4.380	20.000	0.760	-1.463	-0.076
7065	5.256	20.000	0.760	-1.463	-0.076
7094	5.694	20.000	0.760	-1.463	-0.076
7122	6.570	20.000	0.760	-1.463	-0.076
7147	6.786	20.000	0.760	-1.463	-0.076
7179	4.882	20.000	0.760	-1.473	-0.076
7207	1.764	20.000	0.759	-1.463	-0.075
7232	0.710	20.000	0.759	-1.453	-0.076
7263	1.364	20.000	0.759	-1.432	-0.075
7290	1.738	20.000	0.759	-1.452	-0.076
7316	1.879	20.000	0.759	-1.431	-0.075
7350	1.750	20.000	0.758	-1.451	-0.074
7382	1.565	20.000	0.758	-1.451	-0.075
7410	1.248	20.000	0.758	-1.420	-0.074
7438	1.187	20.000	0.758	-1.439	-0.075
7464	1.260	20.000	0.757	-1.408	-0.073
7490	1.347	20.000	0.757	-1.438	-0.074
7516	1.444	20.000	0.756	-1.396	-0.074
7543	1.657	20.000	0.756	-1.425	-0.073
7572	1.645	20.000	0.755	-1.425	-0.074
7599	1.819	20.000	0.755	-1.383	-0.074
7627	1.954	20.000	0.754	-1.412	-0.072
7654	2.042	20.000	0.753	-1.411	-0.073
7685	2.234	20.000	0.752	-1.359	-0.071
7717	2.328	20.000	0.752	-1.397	-0.073
7749	2.586	20.000	0.751	-1.345	-0.070
7781	2.700	20.000	0.750	-1.383	-0.073
7813	2.940	20.000	0.749	-1.320	-0.069
7839	3.039	20.000	0.748	-1.379	-0.072
7867	3.286	20.000	0.746	-1.295	-0.068
7900	3.423	20.000	0.746	-1.364	-0.071
7932	3.680	20.000	0.744	-1.270	-0.067
7964	3.949	20.000	0.742	-1.337	-0.066
7999	4.087	20.000	0.741	-1.243	-0.070
8028	4.368	20.000	0.738	-1.218	-0.065
8056	4.513	20.000	0.737	-1.315	-0.069
8083	4.806	20.000	0.735	-1.180	-0.063
8114	4.957	20.000	0.733	-1.297	-0.068
8144	5.109	20.000	0.732	-1.151	-0.068
8173	5.416	20.000	0.729	-1.257	-0.061
8200	5.568	20.000	0.728	-1.254	-0.066
8229	5.866	20.000	0.724	-1.096	-0.060
8261	6.014	20.000	0.723	-1.222	-0.065
8292	6.303	20.000	0.719	-1.054	-0.058
8322	6.589	20.000	0.715	-1.190	-0.056
8353	6.729	20.000	0.713	-1.011	-0.063
8385	7.003	20.000	0.709	-0.961	-0.055
8414	7.139	20.000	0.707	-1.146	-0.062
8447	7.405	20.000	0.702	-0.926	-0.052
8480	7.537	20.000	0.700	-1.111	-0.061
8511	7.794	20.000	0.695	-0.869	-0.050
8542	7.922	20.000	0.693	-1.084	-0.059
8572	8.172	20.000	0.687	-0.811	-0.048
8603	8.296	20.000	0.685	-1.045	-0.058
8635	8.538	20.000	0.679	-0.762	-0.046
8668	8.777	20.000	0.673	-1.005	-0.044
8701	8.895	20.000	0.670	-0.712	-0.055
8731	9.125	20.000	0.664	-0.657	-0.042
8764	9.238	20.000	0.661	-0.939	-0.053
8789	9.461	20.000	0.654	-0.614	-0.039
8817	9.571	20.000	0.651	-0.896	-0.052
8850	9.787	20.000	0.646	-0.550	-0.044
8883	9.894	20.000	0.644	-0.862	-0.058
8916	10.103	20.000	0.644	-0.669	-0.063
8945	10.310	20.000	0.650	-1.015	-0.087
8976	10.412	20.000	0.642	-1.134	-0.033
9006	10.609	20.000	0.637	-1.738	-0.045
9035	10.707	20.000	0.636	-0.398	-0.058
9064	10.900	20.000	0.635	-0.687	-0.059
9118	11.090	20.000	0.635	-1.013	-0.063
9147	11.276	20.000	0.635	-1.030	-0.067
9176	11.410	20.000	0.636	-1.150	-0.066
9206	11.714	20.000	0.637	-1.242	-0.069
9236	11.252	20.000	0.638	-1.214	-0.066
9269	11.780	20.000	0.638	-1.277	-0.067
9301	11.695	20.000	0.639	-1.208	-0.065
9334	12.246	20.000	0.639	-1.230	-0.065
9367	12.198	20.000	0.639	-1.191	-0.063
9399	12.400	20.000	0.639	-1.181	-0.063
9429	12.411	20.000	0.638	-1.151	-0.061
9461	12.674	20.000	0.638	-1.140	-0.062
9491	12.798	20.000	0.637	-1.099	-0.059
9521	12.933	20.000	0.635	-1.118	-0.058
9549	12.744	20.000	0.634	-1.045	-0.060
9582	13.176	20.000	0.633	-1.001	-0.060
9616	13.216	20.000	0.631	-1.069	-0.055
9648	13.402	20.000	0.629	-1.057	-0.053
9681	13.127	20.000	0.628	-0.942	-0.058
9710	13.406	20.000	0.625	-0.896	-0.051
9744	13.645	20.000	0.623	-1.003	-0.056
9775	13.790	20.000	0.620	-0.846	-0.049
9805	13.890	20.000	0.616	-0.962	-0.047
9840	13.754	20.000	0.614	-0.784	-0.053
9870	13.797	20.000	0.610	-0.745	-0.045
9903	14.018	20.000	0.606	-0.900	-0.043
9935	14.202	20.000	0.604	-0.690	-0.051
9972	14.360	20.000	0.599	-0.639	-0.041
10004	14.470	20.000	0.594	-0.843	-0.039
10037	14.421	20.000	0.591	-0.591	-0.048
10073	14.402	20.000	0.586	-0.528	-0.037
10105	14.560	20.000	0.580	-0.771	-0.034
10140	14.813	20.000	0.577	-0.488	-0.046
10171	14.898	20.000	0.571	-0.423	-0.033
10203	14.831	20.000	0.568	-0.716	-0.044
10236	14.850	20.000	0.561	-0.381	-0.031
10269	15.057	20.000	0.554	-0.673	-0.028
10303	15.220	20.000	0.551	-0.327	-0.042
10342	15.369	20.000	0.544	-0.270	-0.026
10377	15.431	20.000	0.537	-0.601	-0.025
10417	15.544	20.000	0.530	-0.224	-0.024
10461	15.612	20.000	0.522	-0.186	-0.023
10500	15.735	20.000	0.515	-0.158	-0.022
10544	15.795	20.000	0.507	-0.129	-0.021
10578	15.903	20.000	0.500	-0.111	-0.020
10626	15.796	20.000	0.488	-0.082	-0.003
10659	16.073	20.000	0.484	-0.053	-0.033
10703	15.969	20.000	0.473	0.356	-0.003
10758	16.126	20.000	0.466	-0.395	-0.017
10800	16.134	20.000	0.459	0.353	-0.016
10844	16.453	20.000	0.448	0.021	-0.001
10893	16.544	20.000	0.440	0.030	-0.014
10933	16.602	20.000	0.433	0.417	-0.014
10976	16.682	20.000	0.426	0.086	-0.014
11019	16.738	20.000	0.419	0.074	-0.013
11056	16.813	20.000	0.411	0.082	-0.012
11090	16.868	20.000	0.404	0.100	-0.012
11124	16.939	20.000	0.397	0.128	-0.011
11154	16.832	20.000	0.394	0.135	-0.025
11185	16.848	20.000	0.387	0.153	-0.011
11217	17.058	20.000	0.383	-0.188	-0.024
11250	17.115	20.000	0.376	0.170	-0.009
11288	17.177	20.000	0.369	-0.172	-0.009
11320	17.074	20.000	0.365	0.206	-0.022
11356	17.098	20.000	0.358	0.224	-0.007
11388	17.189	20.000	0.351	-0.117	-0.007
11424	17.221	20.000	0.344	0.251	-0.006
11459	17.398	20.000	0.341	0.268	-0.020
11493	17.451	20.000	0.334	0.276	-0.007
11527	17.500	20.000	0.327	-0.076	-0.006
11562	17.411	20.000	0.324	0.271	-0.019
11594	17.446	20.000	0.317	0.298	-0.005
11632	17.516	20.000	0.311	-0.033	-0.005
11670	17.558	20.000	0.304	0.303	-0.005
11706	17.621	20.000	0.298	0.320	-0.005
11736	17.735	20.000	0.295	0.316	-0.017
11772	17.776	20.000	0.289	0.321	-0.005
11806	17.819	20.000	0.283	-0.001	-0.004
11837	17.762	20.000	0.280	0.304	-0.016
11873	17.813	20.000	0.274	0.329	-0.005
11908	17.855	20.000	0.269	0.036	-0.004
11943	17.904	20.000	0.263	0.320	-0.004
11977	17.980	20.000	0.261	0.335	-0.016
12015	18.019	20.000	0.255	0.339	-0.005
12054	18.057	20.000	0.251	0.045	-0.006
12089	18.093	20.000	0.248	0.318	-0.015
12120	18.069	20.000	0.248	0.290	-0.024
12157	18.107	20.000	0.249	0.066	-0.030
12192	18.146	20.000	0.252	-0.153	-0.038
12226	18.184	20.000	0.258	-0.316	-0.048
12260	18.237	20.000	0.261	-0.524	-0.041
12298	18.270	20.000	0.270	-0.758	-0.060
12333	18.303	20.000	0.279	-0.577	-0.067
12372	18.334	20.000	0.288	-1.058	-0.064
12408	18.365	20.000	0.296	-1.232	-0.062
12443	18.395	20.000	0.303	-1.174	-0.059
12478	18.394	20.000	0.307	-1.114	-0.044
12513	18.426	20.000	0.313	-1.042	-0.056
12551	18.458	20.000	0.319	-0.661	-0.055
12589	18.489	20.000	0.324	-0.956	-0.053
12624	18.520	20.000	0.328	-0.930	-0.051
12659	18.541	20.000	0.330	-0.883	-0.041
12694	18.568	20.000	0.334	-0.844	-0.048
12730	18.595	20.000	0.337	-0.600	-0.047
12772	18.621	20.000	0.340	-0.769	-0.045
12807	18.647	20.000	0.343	-0.737	-0.044
12842	18.662	20.000	0.344	-0.694	-0.038
12877	18.688	20.000	0.345	-0.660	-0.041
12911	18.713	20.000	0.347	-0.512	-0.040
12949	18.738	20.000	0.348	-0.597	-0.039
12987	18.762	20.000	0.348	-0.570	-0.037
13024	18.786	20.000	0.348	-0.533	-0.036
13059	18.794	20.000	0.348	-0.494	-0.035
13093	18.816	20.000	0.348	-0.465	-0.034
13128	18.839	20.000	0.348	-0.435	-0.033
13162	18.854	20.000	0.347	-0.414	-0.033
13201	18.875	20.000	0.346	-0.383	-0.031
13239	18.896	20.000	0.345	-0.392	-0.030
13274	18.917	20.000	0.344	-0.340	-0.029
13308	18.937	20.000	0.342	-0.307	-0.028
13342	18.957	20.000	0.341	-0.283	-0.027
13373	18.964	20.000	0.340	-0.259	-0.030
13404	18.983	20.000	0.338	-0.245	-0.025
13435	18.995	20.000	0.337	-0.323	-0.029
13467	19.013	20.000	0.334	-0.198	-0.024
13501	19.020	20.000	0.333	-0.295	-0.029
13534	19.038	20.000	0.331	-0.169	-0.023
13569	19.056	20.000	0.328	-0.276	-0.022
13606	19.074	20.000	0.325	-0.140	-0.021
13643	19.083	20.000	0.324	-0.113	-0.026
13677	19.100	20.000	0.321	-0.096	-0.020
13708	19.116	20.000	0.318	-0.222	-0.020
13747	19.124	20.000	0.316	-0.075	-0.026
13789	19.148	20.000	0.311	-0.058	-0.012
13824	19.163	20.000	0.308	-0.204	-0.018
13859	19.171	20.000	0.306	0.128	-0.024
13894	19.186	20.000	0.303	-0.004	-0.018
13932	19.201	20.000	0.300	-0.170	-0.016
13970	19.215	20.000	0.297	-0.002	-0.016
14008	19.229	20.000	0.293	0.027	-0.016
14042	19.243	20.000	0.290	0.025	-0.016
14076	19.249	20.000	0.288	0.043	-0.022
14110	19.262	20.000	0.285	0.042	-0.016
14144	19.275	20.000	0.282	-0.114	-0.015
14181	19.282	20.000	0.280	0.044	-0.022
14220	19.295	20.000	0.277	0.072	-0.014
14254	19.307	20.000	0.273	-0.104	-0.014
14290	19.319	20.000	0.270	0.075	-0.014
14325	19.331	20.000	0.267	0.093	-0.014
14360	19.336	20.000	0.265	0.091	-0.020
14395	19.347	20.000	0.262	0.089	-0.014
14434	19.359	20.000	0.259	-0.056	-0.013
14472	19.370	20.000	0.256	0.091	-0.013
14504	19.380	20.000	0.253	0.109	-0.013
14534	19.387	20.000	0.251	0.107	-0.019
14573	19.397	20.000	0.248	0.105	-0.013
14603	19.407	20.000	0.245	-0.042	-0.013
14636	19.411	20.000	0.244	0.106	-0.018
14674	19.421	20.000	0.241	0.113	-0.012
14705	19.431	20.000	0.240	-0.023	-0.018
14740	19.437	20.000	0.240	0.124	-0.025
14776	19.446	20.000	0.243	-0.023	-0.035
14811	19.455	20.000	0.248	-0.193	-0.048
14843	19.464	20.000	0.255	-0.440	-0.049
14880	19.468	20.000	0.259	-0.775	-0.043
14918	19.477	20.000	0.270	-0.800	-0.070
14957	19.485	20.000	0.282	-0.641	-0.076
14988	19.493	20.000	0.293	-1.318	-0.073
15023	19.501	20.000	0.302	-1.468	-0.070
15054	19.502	20.000	0.307	-1.395	-0.049
15086	19.509	20.000	0.315	-1.310	-0.064
15123	19.517	20.000	0.319	-0.791	-0.048
15154	19.525	20.000	0.326	-1.172	-0.061
15190	19.532	20.000	0.333	-0.752	-0.060
15221	19.540	20.000	0.339	-1.100	-0.057
15253	19.540	20.000	0.342	-1.056	-0.045
15289	19.547	20.000	0.346	-0.991	-0.054
15324	19.554	20.000	0.350	-0.687	-0.052
15360	19.561	20.000	0.352	-0.909	-0.042
15394	19.568	20.000	0.356	-0.860	-0.049
15425	19.575	20.000	0.358	-0.624	-0.047
15464	19.575	20.000	0.360	-0.783	-0.041
15495	19.581	20.000	0.362	-0.750	-0.045
15529	19.587	20.000	0.363	-0.583	-0.042
15567	19.594	20.000	0.364	-0.678	-0.041
15606	19.600	20.000	0.365	-0.622	-0.039
15637	19.607	20.000	0.365	-0.585	-0.037
15670	19.613	20.000	0.365	-0.546	-0.037
15706	19.619	20.000	0.365	-0.487	-0.035
15737	19.618	20.000	0.364	-0.477	-0.035
15773	19.623	20.000	0.364	-0.436	-0.033
15809	19.630	20.000	0.362	-0.445	-0.031
15839	19.634	20.000	0.362	-0.393	-0.033
15871	19.640	20.000	0.360	-0.350	-0.030
15903	19.645	20.000	0.358	-0.398	-0.028
15936	19.646	20.000	0.357	-0.304	-0.032
15972	19.651	20.000	0.355	-0.269	-0.027
