time	speed	target_speed	cte	angle	steer_value
4398	0.000	10.000	0.760	0.000	0.000
4414	0.438	10.000	0.760	0.000	-0.001
4433	0.876	10.000	0.760	0.436	-0.002
4452	1.314	10.000	0.760	0.411	-0.003
4473	1.752	10.000	0.760	0.386	-0.004
4488	2.190	10.000	0.760	0.361	-0.005
4500	2.628	10.000	0.760	0.336	-0.006
4527	3.066	10.000	0.760	0.311	-0.007
4543	3.504	10.000	0.760	0.286	-0.008
4558	3.504	10.000	0.760	0.286	-0.009
4578	3.942	10.000	0.760	0.236	-0.010
4597	4.380	10.000	0.760	0.211	-0.011
4630	5.256	10.000	0.760	0.186	-0.012
4647	5.694	10.000	0.760	0.161	-0.013
4669	6.132	10.000	0.760	0.136	-0.014
4691	6.570	10.000	0.760	0.111	-0.015
4710	6.786	10.000	0.760	0.086	-0.016
4730	4.869	10.000	0.760	0.061	-0.017
4747	3.187	10.000	0.760	0.036	-0.018
4766	1.684	10.000	0.760	0.011	-0.019
4800	0.433	10.000	0.760	-0.014	-0.020
4818	0.618	10.000	0.760	-0.039	-0.021
4845	1.610	10.000	0.760	-0.064	-0.022
4873	1.761	10.000	0.760	-0.089	-0.023
4890	1.721	10.000	0.760	-0.114	-0.024
4903	1.557	10.000	0.760	-0.139	-0.025
4924	1.316	10.000	0.759	-0.164	-0.026
4944	1.050	10.000	0.759	-0.189	-0.027
4965	0.824	10.000	0.759	-0.214	-0.028
4985	0.642	10.000	0.759	-0.239	-0.029
5008	0.570	10.000	0.759	-0.264	-0.030
5025	0.569	10.000	0.759	-0.289	-0.031
5046	0.667	10.000	0.759	-0.314	-0.032
5064	0.744	10.000	0.759	-0.339	-0.033
5086	0.794	10.000	0.759	-0.364	-0.034
5106	0.810	10.000	0.759	-0.389	-0.035
5124	0.849	10.000	0.759	-0.414	-0.036
5143	0.867	10.000	0.759	-0.439	-0.037
5163	0.867	10.000	0.759	-0.439	-0.038
5184	0.935	10.000	0.758	-0.489	-0.039
5212	0.985	10.000	0.758	-0.514	-0.040
5229	1.049	10.000	0.758	-0.539	-0.041
5250	1.113	10.000	0.758	-0.564	-0.042
5286	1.135	10.000	0.758	-0.589	-0.043
5305	1.259	10.000	0.757	-0.614	-0.044
5320	1.259	10.000	0.757	-0.614	-0.045
5339	1.290	10.000	0.757	-0.664	-0.046
5353	1.366	10.000	0.757	-0.689	-0.047
5372	1.413	10.000	0.757	-0.714	-0.048
5385	1.474	10.000	0.756	-0.739	-0.049
5404	1.525	10.000	0.756	-0.764	-0.050
5425	1.623	10.000	0.756	-0.789	-0.051
5446	1.682	10.000	0.755	-0.814	-0.052
5466	1.712	10.000	0.755	-0.839	-0.053
5487	1.770	10.000	0.755	-0.864	-0.054
5509	1.817	10.000	0.754	-0.889	-0.055
5536	1.900	10.000	0.754	-0.914	-0.056
5573	2.025	10.000	0.753	-0.939	-0.057
5587	2.072	10.000	0.753	-0.964	-0.058
5606	2.131	10.000	0.752	-0.989	-0.059
5620	2.191	10.000	0.752	-1.014	-0.060
5637	2.191	10.000	0.752	-1.014	-0.061
5656	2.269	10.000	0.751	-1.064	-0.062
5670	2.334	10.000	0.751	-1.089	-0.063
5692	2.412	10.000	0.750	-1.114	-0.064
5709	2.480	10.000	0.750	-1.139	-0.065
5731	2.563	10.000	0.749	-1.164	-0.066
5757	2.637	10.000	0.749	-1.189	-0.067
5778	2.715	10.000	0.748	-1.214	-0.068
5800	2.796	10.000	0.747	-1.239	-0.069
5830	2.961	10.000	0.746	-1.264	-0.070
5851	3.061	10.000	0.745	-1.289	-0.071
5891	3.204	10.000	0.744	-1.314	-0.072
5911	3.277	10.000	0.743	-1.339	-0.073
5933	3.350	10.000	0.742	-1.364	-0.074
5954	3.424	10.000	0.741	-1.389	-0.075
5968	3.494	10.000	0.740	-1.414	-0.076
6004	3.567	10.000	0.739	-1.439	-0.077
6019	3.638	10.000	0.738	-1.464	-0.078
6042	3.709	10.000	0.737	-1.489	-0.079
6058	3.778	10.000	0.736	-1.514	-0.080
6080	3.848	10.000	0.735	-1.539	-0.081
6102	3.914	10.000	0.734	-1.564	-0.082
6125	3.983	10.000	0.732	-1.589	-0.083
