time	speed	target_speed	cte	angle	steer_value
4226	0.000	10.000	0.760	0.000	0.000
4242	0.438	10.000	0.760	0.000	-0.010
4274	0.876	10.000	0.760	0.436	-0.020
4290	1.314	10.000	0.760	0.186	-0.030
4304	1.752	10.000	0.760	-0.064	-0.040
4321	2.190	10.000	0.760	-0.314	-0.050
4341	2.628	10.000	0.760	-0.564	-0.060
4357	3.066	10.000	0.760	-0.814	-0.070
4373	3.066	10.000	0.760	-0.814	-0.080
4390	3.504	10.000	0.760	-1.314	-0.090
4403	3.942	10.000	0.760	-1.564	-0.100
4429	4.380	10.000	0.760	-1.814	-0.110
4446	4.818	10.000	0.760	-2.064	-0.120
4463	5.256	10.000	0.760	-2.314	-0.130
4482	5.694	10.000	0.760	-2.564	-0.140
4504	6.132	10.000	0.760	-2.814	-0.150
4525	6.570	10.000	0.760	-3.064	-0.160
4544	6.786	10.000	0.760	-3.314	-0.170
4564	4.869	10.000	0.760	-3.564	-0.180
4583	3.186	10.000	0.760	-3.814	-0.190
4611	1.679	10.000	0.760	-4.064	-0.200
4626	0.419	10.000	0.760	-4.314	-0.210
4646	0.566	10.000	0.760	-4.564	-0.220
4665	1.227	10.000	0.759	-4.814	-0.230
4681	1.611	10.000	0.759	-5.064	-0.240
4699	1.611	10.000	0.759	-5.064	-0.250
4718	1.718	10.000	0.759	-5.564	-0.260
4754	1.551	10.000	0.759	-5.814	-0.270
4775	1.321	10.000	0.758	-6.064	-0.280
4791	1.051	10.000	0.758	-6.314	-0.290
4808	0.816	10.000	0.758	-6.564	-0.300
4825	0.628	10.000	0.757	-6.814	-0.310
4842	0.529	10.000	0.757	-7.064	-0.320
4859	0.542	10.000	0.757	-7.314	-0.330
4875	0.542	10.000	0.757	-7.314	-0.340
4896	0.647	10.000	0.756	-7.814	-0.350
4916	0.702	10.000	0.756	-8.064	-0.360
4937	0.783	10.000	0.755	-8.314	-0.370
4958	0.809	10.000	0.754	-8.564	-0.380
4975	0.850	10.000	0.753	-8.814	-0.390
5002	0.850	10.000	0.753	-8.814	-0.400
5031	0.920	10.000	0.751	-9.314	-0.410
5051	0.923	10.000	0.750	-9.564	-0.420
5086	1.037	10.000	0.749	-9.814	-0.430
5119	1.047	10.000	0.748	-10.064	-0.440
5152	1.153	10.000	0.745	-10.314	-0.450
5186	1.260	10.000	0.742	-10.564	-0.460
5219	1.278	10.000	0.741	-10.814	-0.470
5253	1.408	10.000	0.738	-11.064	-0.480
5286	1.545	10.000	0.734	-11.314	-0.490
5319	1.577	10.000	0.732	-11.564	-0.500
5352	1.719	10.000	0.728	-11.814	-0.510
5386	1.833	10.000	0.723	-12.064	-0.520
5419	1.904	10.000	0.721	-12.314	-0.530
5452	2.065	10.000	0.715	-12.564	-0.540
5486	2.174	10.000	0.709	-12.814	-0.550
5525	2.301	10.000	0.703	-13.064	-0.560
5543	2.364	10.000	0.699	-13.314	-0.570
5566	2.454	10.000	0.695	-13.564	-0.580
5609	2.586	10.000	0.687	-13.814	-0.590
5627	2.663	10.000	0.683	-14.064	-0.600
5648	2.753	10.000	0.678	-14.314	-0.610
5675	2.832	10.000	0.673	-14.564	-0.620
5693	2.898	10.000	0.668	-14.814	-0.630
5714	2.987	10.000	0.663	-15.064	-0.640
5736	3.047	10.000	0.657	-15.314	-0.650
5756	3.134	10.000	0.651	-15.564	-0.660
5775	3.200	10.000	0.645	-15.814	-0.670
5796	3.293	10.000	0.639	-16.064	-0.680
5817	3.337	10.000	0.632	-16.314	-0.690
5847	3.478	10.000	0.618	-16.564	-0.700
5865	3.568	10.000	0.610	-16.814	-0.710
5900	3.615	10.000	0.602	-17.064	-0.720
5926	3.749	10.000	0.585	-17.314	-0.730
5944	3.828	10.000	0.576	-17.564	-0.740
5966	3.880	10.000	0.567	-17.814	-0.750
5987	3.954	10.000	0.558	-18.064	-0.760
6011	4.007	10.000	0.548	-18.314	-0.770
6027	4.078	10.000	0.537	-18.564	-0.780
6049	4.130	10.000	0.527	-18.814	-0.790
6071	4.198	10.000	0.516	-19.064	-0.800
6092	4.251	10.000	0.504	-19.314	-0.810
6115	4.314	10.000	0.492	-19.564	-0.820
6137	4.369	10.000	0.480	-19.814	-0.830
6160	4.485	10.000	0.454	-20.064	-0.840
6176	4.542	10.000	0.441	-20.314	-0.850
6198	4.542	10.000	0.441	-20.314	-0.860
6219	4.596	10.000	0.426	-20.814	-0.870
6243	4.705	10.000	0.397	-21.064	-0.880
6263	4.759	10.000	0.382	-21.314	-0.890
6286	4.812	10.000	0.366	-21.564	-0.900
6306	4.864	10.000	0.349	-21.814	-0.910
6320	4.915	10.000	0.333	-22.064	-0.920
6338	4.965	10.000	0.315	-22.314	-0.930
6354	4.965	10.000	0.315	-22.314	-0.940
6374	5.014	10.000	0.297	-22.814	-0.950
6392	5.062	10.000	0.279	-23.064	-0.960
6415	5.110	10.000	0.260	-23.314	-0.970
6453	5.206	10.000	0.220	-23.564	-0.980
6488	5.301	10.000	0.178	-23.814	-0.990
6519	5.348	10.000	0.157	-24.064	-1.000
6537	5.438	10.000	0.112	-24.314	-1.010
6559	5.438	10.000	0.112	-24.314	-1.020
6578	5.524	10.000	0.064	-24.814	-1.030
6600	5.524	10.000	0.064	-24.814	-1.040
6621	5.610	10.000	0.015	-25.000	-1.050
6641	5.653	10.000	-0.011	-25.000	-1.060
6658	5.696	10.000	-0.037	-25.000	-1.070
6680	5.739	10.000	-0.064	-25.000	-1.080
6698	5.781	10.000	-0.091	-25.000	-1.090
6720	5.781	10.000	-0.091	-25.000	-1.100
6742	5.864	10.000	-0.147	-25.000	-1.110
6765	5.906	10.000	-0.176	-25.000	-1.120
6787	5.947	10.000	-0.205	-25.000	-1.130
6805	5.987	10.000	-0.235	-25.000	-1.140
6824	6.027	10.000	-0.266	-25.000	-1.150
6846	6.067	10.000	-0.297	-25.000	-1.160
6866	6.106	10.000	-0.329	-25.000	-1.170
6890	6.145	10.000	-0.361	-25.000	-1.180
6912	6.184	10.000	-0.394	-25.000	-1.190
6945	6.260	10.000	-0.461	-25.000	-1.200
6963	6.298	10.000	-0.495	-25.000	-1.210
6996	6.335	10.000	-0.530	-25.000	-1.220
7015	6.372	10.000	-0.566	-25.000	-1.230
7037	6.407	10.000	-0.602	-25.000	-1.240
7060	6.478	10.000	-0.676	-25.000	-1.250
7077	6.512	10.000	-0.714	-25.000	-1.260
7119	6.546	10.000	-0.751	-25.000	-1.270
7159	6.612	10.000	-1.158	-25.000	-1.280
7176	6.644	10.000	-1.130	-25.000	-1.290
7197	6.676	10.000	-1.110	-25.000	-1.300
7229	6.740	10.000	-1.096	-25.000	-1.310
7247	6.771	10.000	-1.101	-25.000	-1.320
7279	6.802	10.000	-1.115	-25.000	-1.330
7296	6.832	10.000	-1.137	-25.000	-1.340
7313	6.862	10.000	-1.167	-25.000	-1.350
7331	6.892	10.000	-1.208	-25.000	-1.360
7353	6.922	10.000	-1.251	-25.000	-1.370
7377	6.951	10.000	-1.294	-25.000	-1.380
7395	6.980	10.000	-1.338	-25.000	-1.390
7412	7.009	10.000	-1.383	-25.000	-1.400
7452	7.066	10.000	-1.475	-25.000	-1.410
7484	7.094	10.000	-1.521	-25.000	-1.420
7519	7.149	10.000	-1.616	-25.000	-1.430
7554	7.204	10.000	-1.714	-25.000	-1.440
7575	7.230	10.000	-1.763	-25.000	-1.450
7590	7.256	10.000	-1.813	-25.000	-1.460
7609	7.282	10.000	-1.864	-25.000	-1.470
7624	7.308	10.000	-1.915	-25.000	-1.480
7647	7.334	10.000	-1.967	-25.000	-1.490
7672	7.358	10.000	-2.019	-25.000	-1.500
7693	7.383	10.000	-2.072	-25.000	-1.510
7708	7.406	10.000	-2.125	-25.000	-1.520
7740	7.428	10.000	-2.179	-25.000	-1.530
7761	7.468	10.000	-2.288	-25.000	-1.540
7786	7.487	10.000	-2.344	-25.000	-1.550
7808	7.507	10.000	-2.399	-25.000	-1.560
7823	7.526	10.000	-2.456	-25.000	-1.570
7844	7.545	10.000	-2.512	-25.000	-1.580
7867	7.563	10.000	-2.570	-25.000	-1.590
7908	7.599	10.000	-2.685	-25.000	-1.600
7933	7.617	10.000	-2.744	-25.000	-1.610
7981	7.652	10.000	-2.863	-25.000	-1.620
8028	7.686	10.000	-2.983	-25.000	-1.630
8041	7.720	10.000	-3.106	-25.000	-1.640
