time	speed	target_speed	cte	angle	steer_value
4104	0.000	10.000	0.760	0.000	0.000
4121	0.438	10.000	0.760	0.000	0.000
4137	0.876	10.000	0.760	0.436	0.000
4154	1.314	10.000	0.760	0.436	0.000
4170	1.752	10.000	0.760	0.436	0.000
4190	1.752	10.000	0.760	0.436	0.000
4208	2.190	10.000	0.760	0.436	0.000
4227	2.628	10.000	0.760	0.436	0.000
4247	3.066	10.000	0.760	0.436	0.000
4277	3.942	10.000	0.760	0.436	0.000
4296	4.380	10.000	0.760	0.436	0.000
4325	4.818	10.000	0.760	0.436	0.000
4340	5.256	10.000	0.760	0.436	0.000
4360	5.694	10.000	0.760	0.436	0.000
4392	6.132	10.000	0.760	0.436	0.000
4409	6.570	10.000	0.760	0.436	0.000
4429	6.786	10.000	0.760	0.436	0.000
4457	4.869	10.000	0.760	0.436	0.000
4476	1.683	10.000	0.760	0.436	0.000
4496	0.436	10.000	0.760	0.436	0.000
4517	0.585	10.000	0.760	0.436	0.000
4539	1.232	10.000	0.760	0.436	0.000
4556	1.606	10.000	0.760	0.436	0.000
4577	1.749	10.000	0.760	0.436	0.000
4601	1.713	10.000	0.760	0.436	0.000
4618	1.553	10.000	0.760	0.436	0.000
4635	1.313	10.000	0.760	0.436	0.000
4659	1.038	10.000	0.760	0.436	0.000
4682	0.776	10.000	0.760	0.436	0.000
4712	0.594	10.000	0.760	0.436	0.000
4729	0.497	10.000	0.760	0.436	0.000
4763	0.572	10.000	0.759	0.436	0.000
4787	0.642	10.000	0.759	0.436	0.000
4806	0.690	10.000	0.759	0.436	0.000
4829	0.711	10.000	0.759	0.436	0.000
4871	0.777	10.000	0.759	0.436	0.000
4900	0.812	10.000	0.759	0.436	0.000
4922	0.867	10.000	0.759	0.436	0.000
4941	0.885	10.000	0.759	0.436	0.000
4968	0.962	10.000	0.759	0.436	0.000
4987	1.001	10.000	0.759	0.436	0.000
5006	1.019	10.000	0.759	0.436	0.000
5040	1.115	10.000	0.759	0.436	0.000
5067	1.210	10.000	0.759	0.436	0.000
5086	1.228	10.000	0.758	0.436	0.000
5109	1.271	10.000	0.758	0.436	0.000
5126	1.331	10.000	0.758	0.436	0.000
5159	1.448	10.000	0.758	0.436	0.000
5177	1.507	10.000	0.758	0.436	0.000
5206	1.559	10.000	0.758	0.436	0.000
5243	1.684	10.000	0.758	0.436	0.000
5260	1.743	10.000	0.758	0.436	0.000
5296	1.822	10.000	0.757	0.436	0.000
5320	1.945	10.000	0.757	0.436	0.000
5343	2.030	10.000	0.757	0.436	0.000
5361	2.073	10.000	0.757	0.436	0.000
5409	2.234	10.000	0.757	0.436	0.000
5427	2.281	10.000	0.757	0.436	0.000
5453	2.358	10.000	0.756	0.436	0.000
5483	2.438	10.000	0.756	0.436	0.000
5509	2.575	10.000	0.756	0.436	0.000
5534	2.692	10.000	0.756	0.436	0.000
5552	2.692	10.000	0.756	0.436	0.000
5575	2.765	10.000	0.756	0.436	0.000
5596	2.921	10.000	0.755	0.436	0.000
5618	3.011	10.000	0.755	0.436	0.000
5636	3.108	10.000	0.755	0.436	0.000
5663	3.148	10.000	0.755	0.436	0.000
5683	3.256	10.000	0.755	0.436	0.000
5721	3.297	10.000	0.754	0.436	0.000
5736	3.443	10.000	0.754	0.436	0.000
5755	3.540	10.000	0.754	0.436	0.000
5790	3.587	10.000	0.754	0.436	0.000
5812	3.677	10.000	0.753	0.436	0.000
5834	3.730	10.000	0.753	0.436	0.000
5852	3.867	10.000	0.753	0.436	0.000
5870	3.867	10.000	0.753	0.436	0.000
5888	3.945	10.000	0.753	0.436	0.000
5906	4.002	10.000	0.753	0.436	0.000
5928	4.073	10.000	0.752	0.436	0.000
5975	4.200	10.000	0.752	0.436	0.000
5992	4.264	10.000	0.752	0.436	0.000
6009	4.326	10.000	0.752	0.436	0.000
6030	4.388	10.000	0.751	0.436	0.000
6070	4.511	10.000	0.751	0.436	0.000
6088	4.572	10.000	0.751	0.436	0.000
6110	4.631	10.000	0.751	0.436	0.000
6145	4.749	10.000	0.750	0.436	0.000
6179	4.865	10.000	0.750	0.436	0.000
6201	4.923	10.000	0.750	0.436	0.000
